id,name,x,y,latitude,longitude,wikidata
1,Warszawa,1.924,-14.265,52.23000000,21.01111111,Q270
2,Radom,11.356,-104.704,51.41666667,21.15000000,Q104740
3,Płock,-87.113,21.317,52.55000000,19.70000000,Q104725
4,Siedlce,88.320,-19.454,52.18333333,22.28333333,Q319813
5,Pruszków,-12.412,-21.308,52.16666667,20.80000000,Q721937
6,Legionowo,-3.528,4.107,52.39522850,20.93083090,Q730944
7,Ostrołęka,39.651,80.621,53.08333333,21.56666667,Q461287
8,Otwock,19.279,-26.867,52.11666667,21.26666667,Q745059
9,Ciechanów,-24.862,58.382,52.88333333,20.61666667,Q745051
10,Żyrardów,-37.312,-34.280,52.05000000,20.43333333,Q393251
11,Piaseczno,2.301,-32.427,52.06666667,21.01666667,Q2460090
12,Mińsk Mazowiecki,39.651,-19.454,52.18333333,21.56666667,Q2460505
13,Ząbki,9.054,-7.285,52.29277778,21.11611111,Q248999
14,Wołomin,17.210,-1.745,52.34260000,21.23620000,Q2160529
15,Sochaczew,-50.894,-14.821,52.22500000,20.23333333,Q250485
16,Marki,7.960,-2.775,52.33333333,21.10000000,Q1615800
17,Grodzisk Mazowiecki,-24.297,-27.732,52.10888889,20.62500000,Q1933230
18,Mława,-41.840,84.328,53.11666667,20.36666667,Q983868
19,Nowy Dwór Mazowiecki,-18.128,8.005,52.43027778,20.71583333,Q690039
20,Wyszków,32.408,26.136,52.59333333,21.46000000,Q2619139
21,Kobyłka,14.472,-2.086,52.33953000,21.19589000,Q953221
22,Piastów,-9.729,-19.341,52.18435000,20.83952000,Q778313
23,Ostrów Mazowiecka,62.288,49.116,52.80000000,21.90000000,Q841352
24,Płońsk,-41.255,29.471,52.62333333,20.37527778,Q270656
25,Józefów,17.260,-24.767,52.13555556,21.23694444,Q985534
26,Milanówek,-21.553,-26.019,52.12430000,20.66540000,Q422283
27,Sulejówek,20.184,-12.690,52.24416667,21.28000000,Q953198
28,Pułtusk,6.829,37.996,52.70000000,21.08333333,Q548922
29,Sokołów Podlaski,86.056,4.638,52.40000000,22.25000000,Q1613105
30,Gostynin,-103.279,7.905,52.42938000,19.46194000,Q983735
